timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629133840994,2,http://localhost/orangehrm-0,301,Moved Permanently,Thread Group 1-4,text,true,,624,471,7,7,http://localhost/orangehrm,2,0,1
1629133840996,7,http://localhost/orangehrm-1,302,Found,Thread Group 1-4,text,true,,302,472,7,7,http://localhost/orangehrm/,7,0,0
1629133841003,348,http://localhost/orangehrm-2,200,OK,Thread Group 1-4,text,true,,38831,504,7,7,http://localhost/orangehrm/symfony/web/index.php/auth/login,346,0,0
1629133841354,13,http://localhost/orangehrm-3,200,OK,Thread Group 1-4,bin,true,,943,594,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/favicon.ico,13,0,0
1629133841354,6,http://localhost/orangehrm-4,200,OK,Thread Group 1-4,text,true,,1425,589,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/reset.css,6,0,0
1629133841354,5,http://localhost/orangehrm-5,200,OK,Thread Group 1-4,text,true,,2809,590,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/tipTip.css,5,0,0
1629133841354,3,http://localhost/orangehrm-6,200,OK,Thread Group 1-4,text,true,,33468,614,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,3,0,0
1629133841354,9,http://localhost/orangehrm-7,200,OK,Thread Group 1-4,text,true,,1187,610,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery.autocomplete.css,9,0,0
1629133841354,3,http://localhost/orangehrm-8,200,OK,Thread Group 1-4,text,true,,36130,588,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/main.css,3,0,0
1629133841357,3,http://localhost/orangehrm-9,200,OK,Thread Group 1-4,text,true,,88538,590,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery-3.4.1.min.js,3,0,0
1629133841358,2,http://localhost/orangehrm-10,200,OK,Thread Group 1-4,text,true,,39523,598,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/validate/jquery.validate.js,2,0,0
1629133841360,3,http://localhost/orangehrm-11,200,OK,Thread Group 1-4,text,true,,17863,588,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.ui.core.js,3,0,0
1629133841360,3,http://localhost/orangehrm-12,200,OK,Thread Group 1-4,text,true,,23148,593,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.autocomplete.js,3,0,0
1629133841360,2,http://localhost/orangehrm-13,200,OK,Thread Group 1-4,text,true,,1092,589,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.autocomplete.js,2,0,0
1629133841361,2,http://localhost/orangehrm-14,200,OK,Thread Group 1-4,text,true,,83618,594,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.ui.datepicker.js,1,0,0
1629133841362,2,http://localhost/orangehrm-15,200,OK,Thread Group 1-4,text,true,,20801,585,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.form.js,2,0,0
1629133841363,2,http://localhost/orangehrm-16,200,OK,Thread Group 1-4,text,true,,5641,596,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.tipTip.minified.js,2,0,0
1629133841363,2,http://localhost/orangehrm-17,200,OK,Thread Group 1-4,text,true,,6067,589,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/bootstrap-modal.js,2,0,0
1629133841363,2,http://localhost/orangehrm-18,200,OK,Thread Group 1-4,text,true,,985,593,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.clickoutside.js,2,0,0
1629133841363,6,http://localhost/orangehrm-19,200,OK,Thread Group 1-4,text,true,,37583,604,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/fontawesome-5.13.0/js/fontawesome.min.js,6,0,1
1629133841364,15,http://localhost/orangehrm-20,200,OK,Thread Group 1-4,text,true,,599261,598,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/fontawesome-5.13.0/js/solid.min.js,9,0,0
1629133841365,2,http://localhost/orangehrm-21,200,OK,Thread Group 1-4,text,true,,103779,600,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/fontawesome-5.13.0/js/regular.min.js,2,0,0
1629133841365,2,http://localhost/orangehrm-22,200,OK,Thread Group 1-4,text,true,,8041,585,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.validate.js,2,0,0
1629133841365,2,http://localhost/orangehrm-23,200,OK,Thread Group 1-4,text,true,,12155,574,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/archive.js,2,0,0
1629133841367,2,http://localhost/orangehrm-24,200,OK,Thread Group 1-4,text,true,,621,588,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.marketplace.js,2,0,0
1629133841367,2,http://localhost/orangehrm-25,200,OK,Thread Group 1-4,text,true,,705,583,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.helper.js,2,0,0
1629133841367,2,http://localhost/orangehrm-26,200,OK,Thread Group 1-4,text,true,,6596,589,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/login.css,2,0,0
1629133841367,7,http://localhost/orangehrm-27,200,OK,Thread Group 1-4,bin,true,,30790,597,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/logo.png,7,0,1
1629133841369,2,http://localhost/orangehrm-28,200,OK,Thread Group 1-4,bin,true,,4241,601,7,7,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/login/linkedin.png,2,0,0
